000000000,K,K,1
010101010,NGO,HUY,1
012361411,TRAN,MINH,1
050505050,R,R,1
089089089,Q,Q,2
090909090,MINH,NHAT,1
111111111,A,A,1
112233445,VINH,HUNG,1
121212121,L,L,2
123123123,VAN,KHANH,1
152436786,VICTOR,DONAL,1
222222222,B,B,1
232323232,Z,Z,2
234234234,TRAN,MINH,0
333333333,C,C,2
343434343,X,X,1
345345345,QUY,LONG,0
381813701,VO,KHANH,1
444444444,D,D,3
446767967,O,O,1
454545454,V,V,2
555555555,E,E,3
563534678,P,P,1
568909900,HK,HK,1
647908990,TU,TU,2
666666666,F,F,2
678567675,N,N,3
696969696,PHAM,PHONG,2
777777777,G,G,1
780896856,U,U,1
787808907,Y,Y,1
797808908,ET,ET,2
888888888,H,H,1
909090788,UI,UI,1
999999999,J,J,1
